City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yokadouma,3.5167,15.05,71.2,28,100,1.03,CM,1643662197
de-kastri,51.4667,140.7833,6.17,83,100,17.6,RU,1643662197
mecca,21.4267,39.8261,62.22,66,37,11.36,SA,1643661950
tela,15.7833,-87.45,81.09,83,40,6.91,HN,1643662197
samarkand,39.6542,66.9597,31.42,93,6,6.91,UZ,1643662198
aklavik,68.2191,-135.0107,3.2,78,75,10.36,CA,1643662198
bambous virieux,-20.3428,57.7575,80.85,74,75,18.41,MU,1643662198
lao cai,22.4833,103.95,53.04,90,100,1.03,VN,1643662199
nouakchott,18.0858,-15.9785,69.73,24,100,11.14,MR,1643662199
tura,25.5198,90.2201,53.73,63,7,3.94,IN,1643662199
capinopolis,-18.6819,-49.5697,72.43,92,96,5.37,BR,1643662200
lorengau,-2.0226,147.2712,77.58,91,100,11.88,PG,1643662200
ntungamo,-0.8833,29.65,66.9,68,100,2.8,UG,1643662200
sandwick,60.0,-1.25,39.02,87,75,6.91,GB,1643662201
krasnodon,48.2923,39.7373,32.92,85,100,15.26,UA,1643662201
iberia,29.9502,-91.7507,71.6,40,0,16.11,US,1643662201
fairbanks,64.8378,-147.7164,-7.76,71,0,0.0,US,1643662115
poum,-20.2333,164.0167,80.33,76,100,14.63,NC,1643661906
kavaratti,10.5669,72.642,80.49,72,2,10.58,IN,1643662202
fukue,32.6881,128.8419,48.92,56,87,16.2,JP,1643662064
araouane,18.9048,-3.5265,73.49,12,46,12.26,ML,1643662202
half moon bay,37.4636,-122.4286,63.28,77,0,3.0,US,1643661905
luanda,-8.8368,13.2343,78.8,78,0,9.22,AO,1643662014
honningsvag,70.9821,25.9704,26.35,80,0,17.27,NO,1643662203
warah,27.4481,67.7978,63.39,29,0,2.59,PK,1643662203
lasem,-6.6922,111.4527,76.05,91,99,4.81,ID,1643662203
waipawa,-41.4122,175.5153,68.63,66,95,4.43,NZ,1643662204
zhangye,38.9342,100.4517,18.57,33,100,3.89,CN,1643662204
geraldton,-28.7667,114.6,68.41,64,13,12.66,AU,1643662136
pringsewu,-5.3582,104.9744,73.08,95,100,1.7,ID,1643662204
lerwick,60.1545,-1.1494,39.2,97,100,11.79,GB,1643662205
alindao,5.0267,21.2088,77.31,23,70,0.81,CF,1643662205
takoradi,4.8845,-1.7554,78.96,80,69,7.02,GH,1643662205
frutal,-20.0247,-48.9406,73.81,89,92,4.25,BR,1643662206
mercedes,-34.6515,-59.4307,81.86,25,8,11.81,AR,1643662206
buala,-8.145,159.5921,81.91,78,94,3.51,SB,1643662206
poronaysk,49.2167,143.1167,8.6,82,100,8.66,RU,1643662206
timmins,48.4669,-81.3331,12.02,62,40,3.44,CA,1643661930
riyadh,24.6877,46.7219,66.34,39,45,14.88,SA,1643662207
ust-ilimsk,58.0006,102.6619,-1.53,99,100,2.01,RU,1643662207
the valley,18.217,-63.0578,84.06,65,20,10.36,AI,1643662207
fortuna,40.5982,-124.1573,54.48,75,75,3.0,US,1643662208
hirado,33.3597,129.5531,40.39,60,93,19.57,JP,1643662208
moree,-29.4667,149.85,71.62,83,75,5.75,AU,1643662208
san ramon,37.7799,-121.978,62.15,61,75,1.99,US,1643662208
port elizabeth,-33.918,25.5701,76.1,94,75,9.22,ZA,1643662065
cap malheureux,-19.9842,57.6142,81.09,70,29,10.0,MU,1643662106
tigil,57.8,158.6667,8.98,85,4,9.06,RU,1643662209
yantal,56.8471,105.2542,-6.54,100,100,2.37,RU,1643662209
dharmadam,11.7833,75.4333,73.67,81,4,5.32,IN,1643662210
taoudenni,22.6783,-3.9836,71.71,8,81,14.25,ML,1643662210
coihaique,-45.5752,-72.0662,60.75,55,75,6.91,CL,1643662086
nome,64.5011,-165.4064,12.27,48,0,11.5,US,1643662142
waitati,-45.75,170.5667,66.79,77,81,6.67,NZ,1643662210
washim,20.1,77.15,65.19,26,0,6.33,IN,1643662211
san benito,36.6166,-121.0844,52.86,34,99,2.48,US,1643662211
kiunga,-6.1219,141.2906,72.55,96,100,1.23,PG,1643662211
chepareria,1.3077,35.2039,65.1,68,100,4.03,KE,1643662212
trelew,-43.249,-65.3051,80.06,14,45,13.69,AR,1643662043
inta,66.0317,60.1659,2.97,96,100,6.33,RU,1643662212
hellvik,59.9156,5.781,34.77,77,100,1.99,NO,1643662212
ayan,56.45,138.1667,-0.65,69,100,15.93,RU,1643662213
kanigoro,-8.13,112.219,72.95,92,100,2.95,ID,1643662213
zhezkazgan,47.8043,67.7144,0.34,99,96,5.21,KZ,1643662213
pierre,44.3683,-100.351,54.28,30,0,13.8,US,1643662150
nanortalik,60.1432,-45.2371,26.71,88,100,15.66,GL,1643662111
lafia,8.4833,8.5167,78.94,13,56,6.93,NG,1643662214
port macquarie,-31.4333,152.9167,73.89,94,100,5.75,AU,1643662214
yining,29.0361,114.5636,38.95,98,100,2.44,CN,1643662214
lima,-12.0432,-77.0282,75.45,65,0,11.5,PE,1643662057
adrar,20.5022,-10.0711,76.87,13,100,10.89,MR,1643662215
luderitz,-26.6481,15.1594,66.15,85,8,1.68,NA,1643662215
lagoa,39.05,-27.9833,58.64,77,21,24.18,PT,1643662208
krasnyy chikoy,50.3643,108.7512,-5.8,100,100,2.06,RU,1643662215
aromashevo,56.8602,68.6375,6.76,97,90,3.51,RU,1643662216
najran,17.4924,44.1277,65.05,39,3,3.78,SA,1643662216
yashkul,46.1711,45.3435,34.77,79,91,7.76,RU,1643662216
puerto baquerizo moreno,-0.9,-89.6,81.59,65,75,14.97,EC,1643662217
asfi,32.2994,-9.2372,63.01,59,0,15.93,MA,1643662217
harper,4.375,-7.7169,79.66,82,44,5.68,LR,1643662217
talcahuano,-36.7167,-73.1167,64.24,63,0,17.16,CL,1643661956
carballo,43.213,-8.691,49.91,85,31,10.83,ES,1643662116
sao filipe,14.8961,-24.4956,73.42,75,100,4.16,CV,1643662137
capaci,38.1711,13.2393,56.8,70,40,11.01,IT,1643662218
omboue,-1.5746,9.2618,78.96,84,98,5.68,GA,1643662218
suntar,62.1444,117.6319,-16.08,100,97,2.46,RU,1643662219
iskateley,67.6803,53.1512,6.22,96,100,7.63,RU,1643662219
aksarka,66.5606,67.7975,-18.8,100,94,5.12,RU,1643661982
porto walter,-8.2686,-72.7439,87.53,49,90,6.04,BR,1643662219
lermontovka,47.1453,134.3383,-6.5,99,100,4.43,RU,1643662219
cabedelo,-6.9811,-34.8339,84.87,72,23,12.1,BR,1643662220
kirakira,-10.4544,161.9205,80.98,84,87,3.36,SB,1643662220
palpa,-14.5336,-75.1856,82.53,49,79,10.71,PE,1643662220
sisimiut,66.9395,-53.6735,9.9,88,100,11.21,GL,1643661851
moron,-34.6534,-58.6198,81.01,31,7,9.86,AR,1643662221
karratha,-20.7377,116.8463,81.91,83,97,13.4,AU,1643662136
lewistown,40.5992,-77.5714,33.78,100,98,5.26,US,1643662221
medvezhyegorsk,62.9167,34.4667,10.71,97,100,5.77,RU,1643662221
rancho santa margarita,33.6409,-117.6031,66.83,53,100,1.01,US,1643662222
sassandra,4.95,-6.0833,78.76,87,88,4.74,CI,1643662222
